Symbol	Description
AWM	Shanghai Turbo Enterprises Ltd
AWO	Mirach Energy Limited
AWQ	A-sonic Aerospace Limited
AWS	Global Yellow Pages Limited
AWUW	Global Yellow Pages W190625
AWV	Captii Limited
AWX	Aem Holdings Ltd
AWZ	Multi-chem Limited
AXB	Yongnam Holdings Limited
AXH	Adv Integrated Mfg Corp Ltd
AXJ	Gmg Global Ltd
AXL	China Fibretech Ltd.
AXV	Changtian Plastic & Chem Ltd
AXXZ	Fcl Trea S$500m3.65%b220522
AXZ	Li Heng Chem Fibre Tech Ltd
AYB	Lafe Corporation Limited
AYD	Plastoform Holdings Limited
AYF	Uni-asia Holdings Limited
AYL	Star Pharmaceutical Limited
AYN	Global Testing Corporation Ltd
AYV	Acma Ltd.
AYXW	Acma Ltd W160707
AZA	Ipc Corporation Limited
AZG	8telecom Intl Holdings Co Ltd
AZI	Ausnet Services Ltd
AZQW	Noble Group Mb Ecw160701
AZR	United Food Holdings Limited
AZT	Lottvision Limited
AZVW	Ezion Mb Ecw160701
AZW	China Taisan Tech Grp Hldgsltd
AZY	Pan Ocean Co., Ltd.
AZZ	China Gaoxian Fibrefab Hldgltd
B07	Next-gen Satellite Comm Ltd
B08	British & Malayan Trustees Ltd
B0I	Foreland Fabrictech Hlds Ltd
B0Z	China Fishery Group Limited
B10	Boardroom Limited
B16	Guocoleisure Limited
B1ZU	Rickmers Maritime
B26	Ban Leong Technologies Limited
B28	Bonvests Holdings Ltd
B2F	M1 Limited
B49	World Precision Machinery Ltd
B58	Banyan Tree Holdings Limited
B61	Bukit Sembawang Estates Ltd
B66	Pt Berlian Laju Tanker Tbk
B69	Broadway Industrial Group Ltd
B73	Global Investments Limited
B7K	Sin Ghee Huat Corporation Ltd.
B9S	Cosmosteel Holdings Limited
BABW	China Gaoxian Fibrefab W180918
BAC	Jacks International Limited
BAI	S I2i Limited
BAZ	Lion Asiapac Ltd
BBP	Hor Kew Corporation Limited
BBW	Azeus Systems Holdings Ltd.
BCD	China Yuanbang Prop Hldgs Ltd
BCV	Qian Hu Corporation Limited
BCX	China Flexible Pack Hldg Ltd
BCY	Powermatic Data Systems Ltd
BCZ	Travelite Holdings Ltd.
BDA	Pne Industries Ltd
BDF	Excelpoint Technology Ltd
BDN	Ryobi Kiso Holdings Ltd.
BDPW	Globallogisticpropmbecw160627
BDQW	Globallogisticpropmbepw160627
BDR	Willas-array Elec (hldgs) Ltd
BDSW	Capitaland Mb Ecw160901
BDTW	Sembcorp Marine Mb Ecw160627
BDU	Federal Int(2000) Ltd
BDV	Fischer Tech Ltd
BDWW	Ezion Mb Ecw160901
BDX	Gsh Corporation Limited
BDZW	Wilmar Mb Ecw161003
BEC	Brc Asia Limited
BEH	China International Hldgs Ltd
BEI	Lht Holdings Limited
BER	Otto Marine Limited
BESU	Indiabulls Properties Invtrust
BEV	Swing Media Technology Grp Ltd
BEW	Jb Foods Limited
BEYZ	Aspial Trea S$150m5.25%b200828
BEZ	Beng Kuang Marine Limited
BFI	Tiong Seng Holdings Limited
BFK	Pharmesis International Ltd.
BFT	Fabchem China Limited
BFU	Tye Soon Ltd
BGBW	Singapore Post Mb Ecw160902
BGDW	Capitaland Mb Ecw160902
BGEW	Capitaland Mb Epw160902
BGK	Swiber Holdings Limited
BGO	Universal Resource & Svcs Ltd
BHD	China Mining International Ltd
BHK	Siic Environment Holdings Ltd.
BHO	Top Global Limited
BHQ	Sunningdale Tech Ltd
BHU	Sutl Enterprise Limited
